debt_to_income_ratio,credit_score,default
0.17705199984245684,773.2839081387447,0
0.17785647033168023,707.2878831368323,0
0.18483489036050052,745.8220312585012,0
0.1000237714050571,802.6846026935946,0
0.37501431632648524,458.7660131065575,1
0.1604563557139633,789.9324359259184,0
0.21210541860956134,732.1071241736499,0
0.1724324872764173,675.3385353170776,0
0.20733439679116625,760.4128735508489,0
0.3886698683065505,482.92682335847655,1
0.2327106519680115,755.8717204794219,0
0.42348188272952686,459.4245823243426,1
0.24757881955698563,711.7950968260259,0
0.20058752778916789,757.789447788751,0
0.21963899806553006,793.4314529975738,0
0.1737242288411442,738.1807872788336,0
0.4245406938100499,457.10804003733017,1
0.17577140307986647,726.3014296338843,0
0.20304021565649646,779.6850996428757,0
0.4147942778252926,492.61921500261406,1
0.2552036541658981,799.0773289553723,0
0.43106763197320075,393.69953221128713,1
0.43991993164981796,418.06811021846187,1
0.20480125306873045,811.7297411308875,0
0.4428356204277267,458.44069868810476,1
0.4453567608927204,468.90389929652173,1
0.4031741870893856,413.113387032895,1
0.14326537068267875,779.0038314739198,0
0.2474281661865199,796.9249855034657,0
0.22345456075020373,748.8294874526009,0
0.362076626340107,461.56674575631274,1
0.3707654273426418,398.1968491174554,1
0.24748121222241523,692.4688808673053,0
0.36468801076142654,472.9033112542463,1
0.4209804069703577,442.922110900238,1
0.42232834873784,486.961080768276,1
0.19101467400011904,758.0463862349136,0
0.21527741808926215,767.1526600132229,0
0.22146611010109146,736.6472204097596,0
0.4590218050848944,433.16062076718947,1
0.44496479268208616,433.1925273161657,1
0.43184481108258305,439.20500258826513,1
0.4530166539595212,507.8791153741493,1
0.16860406747671042,749.2516497421641,0
0.4451851536769445,451.1902455798297,1
0.3959913249136482,440.0992545779398,1
0.15820763223915868,832.9633067899989,0
0.08414978487225244,804.9950567659274,0
0.41777809204413524,427.4368547705309,1
0.18790121254047487,754.3423882310609,0
0.19812317684483266,781.7705871848731,0
0.27304038854187745,717.7651973401524,0
0.417618985757528,454.88039258581443,1
0.26003039162537245,720.616336928078,0
0.3630100725514617,472.82394674372637,1
0.3959317355108241,475.543698351095,1
